PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 Population Source Population_gp category color cat_gp group
0.0826694 -0.121095 -0.0275534 -0.0333787 -0.0108279 -0.00868551 0.00248128 -0.0520097 0.00547812 -0.00769877 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0840704 -0.121292 -0.0324493 -0.0356903 -0.0143939 -0.00729601 -0.00544621 -0.0549331 0.0192732 -0.0065581 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0785479 -0.119824 -0.031071 -0.0346244 -0.0160352 -0.00536636 -0.000328419 -0.0513662 0.0122967 -0.00789203 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0814342 -0.122275 -0.0319313 -0.0391232 -0.00881821 -0.00379739 -0.00554828 -0.0579309 0.0069691 -0.00688795 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0834729 -0.118014 -0.0295992 -0.0369277 -0.0173334 -0.00361682 0.000289063 -0.056777 0.00973008 -0.00449969 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0805282 -0.120028 -0.0289105 -0.0321337 -0.0212702 -0.00380924 -0.00190391 -0.0530603 0.0114047 -0.00372928 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.082618 -0.119859 -0.0288301 -0.0360296 -0.0153827 -0.00372564 -0.00301911 -0.0556446 0.0206313 -0.00624677 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0811584 -0.122932 -0.0285782 -0.0353269 -0.0140259 -0.00416345 -0.00136092 -0.0537163 0.0123526 -0.00501503 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0807186 -0.118613 -0.0309653 -0.0369618 -0.0171966 -0.00170966 -0.00204195 -0.0634971 0.01501 -0.0131727 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0805698 -0.120936 -0.0280013 -0.0344697 -0.00996825 -0.00229712 -0.000936736 -0.044792 0.00960663 -0.000467711 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0814067 -0.12212 -0.0285285 -0.0366005 -0.0105981 -0.00237174 0.00247597 -0.0636058 0.0105239 0.00501165 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0827165 -0.122202 -0.0307791 -0.0351745 -0.0126185 -0.00255354 -0.00210156 -0.0508541 0.00848263 -0.0133416 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.083313 -0.120686 -0.0289337 -0.0342099 -0.0111625 -0.0076009 -0.00598362 -0.060561 0.0100185 -0.00362997 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0802819 -0.120825 -0.0315774 -0.036944 -0.0153346 -0.00197573 -0.00100407 -0.0503746 0.00596758 -0.0045306 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0809009 -0.121526 -0.0313258 -0.0386753 -0.0130561 -0.00114924 0.00198715 -0.0778843 0.0148942 0.000132523 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0814071 -0.122493 -0.0302941 -0.0361857 -0.0179968 -0.00460217 -0.00252575 -0.0593788 0.0161206 -0.00280228 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0809248 -0.121079 -0.0317914 -0.0355169 -0.0143345 -0.0034329 -0.00287263 -0.0411694 0.0141334 0.00704337 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0803079 -0.123143 -0.0273323 -0.0339476 -0.0159481 -0.0017381 -0.0052159 -0.0612827 0.0175545 -0.00460731 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.080734 -0.119415 -0.0313724 -0.0332076 -0.0197872 -0.00172074 -0.00453476 -0.0562615 0.0112794 -0.00513633 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0803977 -0.122781 -0.0282357 -0.035569 -0.00841972 0.000898338 -0.00413763 -0.0417025 0.0107411 -0.00630915 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.081395 -0.119694 -0.028617 -0.0347486 -0.00474974 -0.00632706 0.00174859 -0.0385833 0.00422583 -0.00520328 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0789612 -0.124399 -0.0293994 -0.0372806 -0.0083384 -0.00721747 -0.00398217 -0.0319082 0.0041471 0.00138568 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0806648 -0.122403 -0.0312796 -0.0372702 -0.0138927 0.00268944 0.00206851 -0.0348581 0.00455823 -0.00555591 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.078998 -0.122179 -0.0312822 -0.0370312 -0.00761977 -0.000800932 -0.00162173 -0.0400548 0.0111891 -0.00440053 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0795977 -0.121755 -0.0291006 -0.0376 -0.00994103 -0.00269081 0.000266641 -0.0442328 0.00559953 0.00159114 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0814242 -0.123263 -0.0312144 -0.0380677 -0.00728111 -0.00161084 2.02237e-05 -0.0497878 0.00763904 -0.00336648 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0796292 -0.121444 -0.0276613 -0.0342766 -0.00759841 -0.00489657 0.00286728 -0.0392809 0.00201886 -0.00642571 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.080891 -0.120878 -0.030019 -0.0357238 -0.0147882 -0.00232503 -0.00241636 -0.0378742 0.00450692 -0.00712508 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0805306 -0.119739 -0.0304146 -0.0374655 -0.0101023 -0.00317379 -0.00252005 -0.0405558 0.0107782 -0.00290369 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.080425 -0.121417 -0.0311653 -0.0362924 -0.0112935 -0.00204899 -0.00563344 -0.0306541 0.00195452 -0.00126306 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0822335 -0.12352 -0.0315423 -0.0402583 -0.00761507 0.000266817 0.000336573 -0.0299518 0.00185639 -0.00536033 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0812614 -0.12003 -0.029858 -0.0388599 -0.0120044 -0.00477657 -0.00058764 -0.0439558 0.010834 -0.00761399 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.083856 -0.122369 -0.0295828 -0.0345634 -0.014139 -0.00622989 0.000747643 -0.0341664 0.00336054 -0.00324305 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0786315 -0.119498 -0.0283681 -0.0379333 -0.0075074 -0.00196977 0.000269354 -0.0253169 0.00181943 0.00290094 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0792291 -0.122684 -0.0280899 -0.0353041 -0.0109206 -0.00168289 -0.000816585 -0.0368559 0.00629401 -0.00183312 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0816157 -0.120385 -0.030938 -0.0367876 -0.0105169 -0.00410729 -0.000710956 -0.0414132 0.00244244 -0.00263388 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.08293 -0.121031 -0.0309704 -0.0382367 -0.00816064 -0.00883481 -0.0014449 -0.0318666 0.00784966 -0.00551932 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0829893 -0.121787 -0.0312488 -0.0381971 -0.0117697 -0.00505875 -0.005762 -0.0492736 0.00409179 -0.00868154 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0783448 -0.122432 -0.0331985 -0.0378329 -0.0108879 -0.00319745 0.00539653 -0.030424 0.00212891 0.00493087 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0807631 -0.118228 -0.0303575 -0.0364066 -0.00970589 -0.00464169 -0.00305481 -0.0377474 -0.000511415 -0.0136517 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.08032 -0.118122 -0.0297526 -0.0353089 -0.00931682 -0.00512317 0.00320375 -0.0342551 0.00896526 -0.00300322 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0813671 -0.123216 -0.031333 -0.0350723 -0.00838966 0.00157966 -0.000718432 -0.0293634 0.0045123 0.000627197 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0808502 -0.117661 -0.0304852 -0.0325238 -0.0120074 -0.00603087 -0.00206255 -0.0419648 0.00200561 -0.00334292 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0791743 -0.121546 -0.0310376 -0.0396894 -0.0114574 -0.00278372 0.00327913 -0.0424543 0.00450788 -0.0159979 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0799704 -0.117894 -0.03113 -0.0333705 -0.00858147 -0.00288905 -0.00178071 -0.0392424 0.00746404 -0.00270575 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0789839 -0.122052 -0.0306955 -0.0368467 -0.00827151 -0.00256821 -0.0022386 -0.0451546 0.0134118 -0.00239061 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0823474 -0.121612 -0.0319853 -0.0378631 -0.015517 -0.00318753 -0.00134318 -0.0388997 0.000795325 0.00324665 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0846334 -0.0962111 -0.0322279 -0.0292745 -0.100436 -0.000209471 0.00455547 0.0432417 -0.00547272 0.00418212 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0833058 -0.0995066 -0.0313512 -0.0302482 -0.093219 -0.0035855 -0.00066668 0.0384167 -0.00172504 0.0072722 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0818114 -0.107144 -0.0344946 -0.0322062 -0.0688457 -0.00262336 0.00270697 0.0196335 -0.00468734 0.00279401 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.081637 -0.0987453 -0.0328671 -0.0323687 -0.0929887 -0.00365804 0.000284649 0.0363417 -0.00191204 0.00173036 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0811012 -0.0956217 -0.032594 -0.029977 -0.0908597 -0.000864353 -0.000215223 0.0406837 -0.000399968 0.00301599 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0821935 -0.100291 -0.0319943 -0.0321247 -0.0849457 -0.00281451 -0.000505981 0.0353741 0.00105099 0.00122407 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0816098 -0.0984763 -0.0313035 -0.0294791 -0.0875387 -0.000174481 -6.04915e-05 0.0302736 0.000506191 -0.000294351 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.082768 -0.0976516 -0.0319521 -0.0331352 -0.0813271 -0.00137208 0.00295798 0.0308934 -0.00220055 0.00265661 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0761987 -0.102087 -0.0262734 -0.0330186 -0.0572372 -5.70551e-06 0.0017081 0.0376302 -0.00868818 0.00857915 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0812744 -0.0962384 -0.0332768 -0.0287 -0.0898448 -0.000744533 0.00155888 0.0334853 -0.00694225 -0.00153947 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0828453 -0.099065 -0.0310525 -0.0328911 -0.0957514 -0.000960762 0.00176997 0.0402385 -0.001756 0.000814783 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0826865 -0.0933673 -0.0311038 -0.0317713 -0.0954239 -0.0041354 0.00562376 0.0365395 0.00120993 0.0023427 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0821717 -0.10026 -0.0306906 -0.0312982 -0.0967548 -0.00223937 0.00412221 0.0501283 -0.00605333 -0.00180849 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0815392 -0.0928821 -0.0336232 -0.0296454 -0.0992815 0.0019065 0.00219462 0.0532348 -0.00316801 0.0020901 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0820663 -0.102457 -0.0323965 -0.0322528 -0.0871487 0.000252245 0.00197749 0.03598 -0.00526555 0.00457832 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0809935 -0.100783 -0.0331808 -0.0324248 -0.0824782 -0.00333459 0.00338135 0.0201695 -0.00519993 -0.0060264 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0810952 -0.103565 -0.0292633 -0.0343802 -0.0763804 -0.00495336 -0.00311157 0.0139913 -0.00877327 -0.00183351 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0799412 -0.119788 -0.0307117 -0.0343367 -0.00355513 -0.00505388 0.00323159 -0.0406067 0.00508378 -0.00151453 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0810258 -0.123434 -0.0282825 -0.0362572 -0.00936809 -0.00274012 -0.00140511 -0.0502451 0.00677392 -0.00491043 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0798359 -0.121562 -0.0291828 -0.0372859 -0.00720767 -0.00170687 -0.00431265 -0.039512 0.0057719 0.00391989 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0802755 -0.119989 -0.0294515 -0.0354377 -0.00809753 -0.00187238 -0.0053444 -0.0350492 0.0103965 -0.00351847 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0808289 -0.121393 -0.0310147 -0.0386279 -0.00859733 -0.00472991 -0.00295147 -0.0399791 0.00878433 0.00257357 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0784465 -0.122271 -0.0315707 -0.0374249 -0.0082731 -0.000446846 -0.00471549 -0.0530777 0.00776127 -0.00220662 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.080249 -0.120039 -0.0299139 -0.0381084 -0.00893827 -0.00236485 5.23865e-05 -0.0362313 0.00445077 -0.00510462 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0802463 -0.120532 -0.0281599 -0.034589 -0.00630108 -0.00331888 -0.0038051 -0.0574594 0.0127663 -0.00351991 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
