cell_type,gene,avg_expr,pct_expr,gene_label
ncMono,CD3D,0.034388695,0.0310834482501584,CD3D (CD8)
ncMono,CD4,0.51324284,0.4202228765234244,CD4 (CD4)
ncMono,CD6,0.0030365062,0.0029070850881443107,CD6 (NK)
ncMono,CD79A,0.028140513,0.026163765793298797,CD79A (B)
ncMono,CD8A,0.01642525,0.015690805411650702,CD8A (CD8)
ncMono,CD8B,0.016768165,0.014833588013864559,CD8B (CD8)
ncMono,FCGR3A,2.2259517,0.855689314598785,FCGR3A (ncMono)
ncMono,IL7R,0.075602494,0.06574484737803288,IL7R (CD4)
ncMono,LST1,3.4403503,0.9912042040922813,LST1 (ncMono)
ncMono,MS4A1,0.014809103,0.01270917968022064,MS4A1 (B)
ncMono,MS4A7,1.885728,0.8378741008534903,MS4A7 (ncMono)
ncMono,NCAM1,0.0015820425,0.001528083187357907,NCAM1 (NK)
ncMono,NKG7,0.5206861,0.3623793373336812,NKG7 (NK)
ncMono,S100A8,3.075963,0.9283664418023928,S100A8 (cMono)
